Id,SalePrice
1461,128807.65335494683
1462,155508.23281318665
1463,182279.40372582636
1464,187005.82983963424
1465,193266.20502901095
1466,176470.67764617986
1467,174770.81409643567
1468,170952.75332303345
1469,177439.7976772114
1470,121458.08378483965
1471,191413.96939834993
1472,94178.98261689534
1473,98119.01911855268
1474,155987.42584227392
1475,133440.62969348274
1476,378914.225837888
1477,255407.1744474747
1478,296911.78427500767
1479,266057.6521849521
1480,491555.174951078
1481,313724.70579679497
1482,207677.3091903323
1483,178778.41002303947
1484,170474.45431355864
1485,170618.4799714409
1486,196650.03507678543
1487,326828.0420382062
1488,233662.98570021908
1489,207974.3557866555
1490,226452.74008375284
1491,185695.8803560115
1492,100026.14529255667
1493,176329.99337388872
1494,282683.75927305355
1495,282943.81640243536
1496,224627.9059228805
1497,182575.3420775047
1498,159037.70592502464
1499,158265.81066398107
1500,154939.12597762377
1501,172308.41368028452
1502,151731.3970798424
1503,297147.8495221949
1504,237268.1719190558
1505,224708.3814548592
1506,183779.85701438217
1507,233489.92054913385
1508,211685.72095195643
1509,166760.31145288874
1510,151114.05906196169
1511,144934.94450831917
1512,169270.21552935496
1513,137161.1208473205
1514,160492.02731347317
1515,177345.14684708678
1516,154712.41399792832
1517,153755.53395842208
1518,123893.5101316547
1519,201572.0596865358
1520,136043.21599428955
1521,140320.6631760814
1522,166453.1573862793
1523,112864.50194491385
1524,126288.42410565144
1525,126625.85320879816
1526,123935.31219418782
1527,103123.31922616375
1528,130058.76387944861
1529,144952.58015642583
1530,172371.3851314141
1531,109905.60445571618
1532,104239.61196040465
1533,140159.61062996602
1534,116675.02259748618
1535,161978.72973442503
1536,119638.35273434056
1537,68038.79942535248
1538,186998.83304692007
1539,235563.6123787486
1540,93986.7887021029
1541,147292.30850666796
1542,145992.56760540878
1543,214689.32393578207
1544,84974.65878622595
1545,109944.28499260911
1546,121715.94350652081
1547,143005.86856902766
1548,137231.65832930178
1549,115473.21977780294
1550,138973.5232600137
1551,115281.02659588023
1552,120139.17834237307
1553,156783.14083647696
1554,108047.91321625985
